"from","to","weight","pairID","pair_type","year","colony_size","colony_size_c","from_role","to_role","pair_type_2"
"A1D2","8712",0.365430890869185,"8712-A1D2","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"A1D2","1338",0.358539211425829,"1338-A1D2","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"A1D2","5876",0.370414931948105,"5876-A1D2","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"61B2","4D10",0.387135585890285,"4D10-61B2","other",2014,24,-2.49157786180818,"rfid_mom","rfid_mom","other"
"61B2","CE1D",0.33339062679042,"61B2-CE1D","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"61B2","1A0D",0.437521485046408,"1A0D-61B2","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"61B2","94D3",0.447386513723291,"61B2-94D3","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"61B2","9900",0.45239732194012,"61B2-9900","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"61B2","775E",0.371472769238324,"61B2-775E","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"61B2","5440",0.386402700084377,"5440-61B2","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"61B2","5DED",0.486491131901927,"5DED-61B2","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"61B2","4FCA",0.512190929747043,"4FCA-61B2","other",2014,24,-2.49157786180818,"rfid_mom","rfid_mom","other"
"61B2","4F91",0.645111389569634,"4F91-61B2","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"61B2","5971",0.611072915473053,"5971-61B2","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"61B2","0832",0.447386513723291,"0832-61B2","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"61B2","A093",0.365899772782533,"61B2-A093","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"61B2","A4F8",0.355605209885032,"61B2-A4F8","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"61B2","900E",0.420027500859402,"61B2-900E","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"61B2","8712",0.468096077470506,"61B2-8712","other",2014,24,-2.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"61B2","E453",0.420027500859402,"61B2-E453","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"61B2","1338",0.458347656697605,"1338-61B2","mother-daughter",2014,24,-2.49157786180818,"rfid_mom","rfid_off","mother-daughter"
"61B2","5876",0.384655049316445,"5876-61B2","other",2014,24,-2.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"61B2","A0CF",0.0801443795118598,"61B2-A0CF","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4D10","CE1D",0.382393383616768,"4D10-CE1D","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4D10","1A0D",0.366712501432337,"1A0D-4D10","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4D10","94D3",0.388927084526947,"4D10-94D3","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4D10","9900",0.43591947184247,"4D10-9900","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4D10","775E",0.303098013479588,"4D10-775E","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4D10","5440",0.400034376074252,"4D10-5440","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4D10","5DED",0.388927084526947,"4D10-5DED","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4D10","4FCA",0.390281632276618,"4D10-4FCA","other",2014,24,-2.49157786180818,"rfid_mom","rfid_mom","other"
"4D10","4F91",0.437521485046408,"4D10-4F91","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4D10","5971",0.394773027446581,"4D10-5971","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4D10","0832",0.515146306655416,"0832-4D10","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4D10","A093",0.275077346167068,"4D10-A093","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4D10","A4F8",0.33339062679042,"4D10-A4F8","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4D10","900E",0.346991391950386,"4D10-900E","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4D10","8712",0.33339062679042,"4D10-8712","mother-daughter",2014,24,-2.49157786180818,"rfid_mom","rfid_off","mother-daughter"
"4D10","E453",0.375042970092815,"4D10-E453","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4D10","1338",0.326590244210438,"1338-4D10","other",2014,24,-2.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"4D10","5876",0.367392539690335,"4D10-5876","other",2014,24,-2.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"4D10","A0CF",0.100137504297009,"4D10-A0CF","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"CE1D","4FCA",0.571404017089819,"4FCA-CE1D","other",2014,24,-2.49157786180818,NA,"rfid_mom","other"
"CE1D","8712",0.520826171651197,"8712-CE1D","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"CE1D","1338",0.48000687521485,"1338-CE1D","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"CE1D","5876",0.461551683105482,"5876-CE1D","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"1A0D","4FCA",0.395384812170729,"1A0D-4FCA","other",2014,24,-2.49157786180818,NA,"rfid_mom","other"
"1A0D","8712",0.313789524059881,"1A0D-8712","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"1A0D","1338",0.283093457519604,"1338-1A0D","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"1A0D","5876",0.320816334472716,"1A0D-5876","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"94D3","4FCA",0.533321874641915,"4FCA-94D3","other",2014,24,-2.49157786180818,NA,"rfid_mom","other"
"94D3","8712",0.461551683105482,"8712-94D3","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"94D3","1338",0.400034376074252,"1338-94D3","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"94D3","5876",0.462975694842316,"5876-94D3","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"9900","4FCA",0.595711767588482,"4FCA-9900","other",2014,24,-2.49157786180818,NA,"rfid_mom","other"
"9900","8712",0.518512152578842,"8712-9900","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"9900","1338",0.482148995727545,"1338-9900","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
